loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
218.65658984375,1746496443,,False,1,d1c59_00000,2025-05-05_20-54-03,43.67699670791626,43.67699670791626,3550062,quser32,165.124.130.40,43.67699670791626,1
208.220472265625,1746496466,,False,2,d1c59_00000,2025-05-05_20-54-26,23.59882116317749,67.27581787109375,3550062,quser32,165.124.130.40,67.27581787109375,2
207.46944876302084,1746496490,,False,3,d1c59_00000,2025-05-05_20-54-50,23.648557424545288,90.92437529563904,3550062,quser32,165.124.130.40,90.92437529563904,3
207.33695188802082,1746496514,,False,4,d1c59_00000,2025-05-05_20-55-14,23.918503999710083,114.84287929534912,3550062,quser32,165.124.130.40,114.84287929534912,4
207.23210983072917,1746496538,,True,5,d1c59_00000,2025-05-05_20-55-38,24.134678602218628,138.97755789756775,3550062,quser32,165.124.130.40,138.97755789756775,5
